Item ID,Name,Color,Size,SKU,Sale Date,Listing Amount,Sale Fees + Shipping,Net Sale,Purchase Subtotal,Purchase Tax,Purchase Shipping,Purchase Total,Profit,Sale Platform,Imported From
27565347,Nike Kwondo 1 G-Dragon Peaceminusone Panda,Black/White,8,DH2482-101,01/08/2024,$148.00,$16.21,$131.79,$107.76,$0.00,$0.00,$107.76,$24.03,,spreadsheet
27565440,Nike Air Max 90 Triple Red (2020),University Red/University Red-Black,10.5,CZ7918-600,01/08/2024,$107.00,$11.91,$95.09,$55.10,$0.00,$0.00,$55.10,$39.99,,spreadsheet
27565424,Nike Air Max 1 The Bay,White/University Red,9.5,FJ4451-100,01/09/2024,$113.00,$12.54,$100.46,$76.97,$0.00,$0.00,$76.97,$23.49,,spreadsheet
27590383,Nike Air Max 90 Terrascape Pure Platinum Hyper Royal,Pure Platinum/Hyper Royal/White,10.5,DV7413-002,01/10/2024,$93.00,$10.44,$82.56,$79.19,$0.00,$0.00,$79.19,$3.37,,new_item_addition_flow
27590382,Nike Air Max 90 Terrascape Pure Platinum Hyper Royal,Pure Platinum/Hyper Royal/White,10.5,DV7413-002,01/10/2024,$93.00,$11.77,$81.23,$79.19,$0.00,$0.00,$79.19,$2.04,,new_item_addition_flow
27565436,Nike Air Max 90 Triple Red (2020),University Red/University Red-Black,8.5,CZ7918-600,01/10/2024,$101.00,$11.27,$89.73,$55.10,$0.00,$0.00,$55.10,$34.63,,spreadsheet
27565301,Jordan 1 Mid Wear-Away Chicago,Black/Infrared 23-White-Sail,8,DV9565-006,01/11/2024,$96.00,$10.75,$85.25,$81.48,$0.00,$0.00,$81.48,$3.77,,spreadsheet
27613726,Nike Air Max Scorpion FK Triple Black,Black/Black/Black,13,DJ4701-003,01/11/2024,$155.00,$18.28,$136.72,$109.48,$0.00,$0.00,$109.48,$27.24,,upc_scan
27565384,Nike Air Max 90 Terrascape Sail Sea Glass,Sail/Sea Glass/Black,9.5,DH2973-100,01/11/2024,$100.00,$11.17,$88.83,$76.63,$0.00,$0.00,$76.63,$12.20,,spreadsheet
27616526,Nike Sportswear Tech Fleece Full-Zip Hoodie Black,Black,XXL,CU4489-010,01/11/2024,$80.00,$12.41,$67.59,$62.99,$0.00,$0.00,$62.99,$4.60,,manual
27786450,Nike Ja 1 Light Smoke Grey,White/Light Smoke Grey-Black-Phantom-Light Bone-Photon Dust,11,DR8785-100/DR8786-100,01/11/2024,$94.00,$10.54,$83.46,$76.98,$0.00,$0.00,$76.98,$6.48,,upc_scan
27786458,Nike Air Max 90 Terrascape Sail Sea Glass,Sail/Sea Glass/Black,9,DH2973-100,01/11/2024,$98.00,$10.96,$87.04,$76.98,$0.00,$0.00,$76.98,$10.06,,upc_scan
27565368,adidas Ultra Boost 5.0 DNA Triple Black,Core Black/Core Black/Beam Green,10.5,GV8745,01/12/2024,$118.00,$13.06,$104.94,$77.56,$0.00,$0.00,$77.56,$27.38,,spreadsheet
27565411,Nike Ja 1 Light Smoke Grey,White/Light Smoke Grey-Black-Phantom-Light Bone-Photon Dust,11,DR8785-100/DR8786-100,01/12/2024,$94.00,$10.54,$83.46,$77.15,$0.00,$0.00,$77.15,$6.31,,spreadsheet
27565300,Jordan 1 Mid Wear-Away Chicago,Black/Infrared 23-White-Sail,8,DV9565-006,01/12/2024,$97.00,$10.86,$86.14,$81.48,$0.00,$0.00,$81.48,$4.66,,spreadsheet
27565385,Nike Air Max 90 Terrascape Sail Sea Glass,Sail/Sea Glass/Black,13,DH2973-100,01/12/2024,$102.00,$11.38,$90.62,$76.63,$0.00,$0.00,$76.63,$13.99,,spreadsheet
